"USFWBand"	"JayID"	"NatalNest"	"TerrYr"	"Terr"	"Year"	"HatchDate"	"FldgDate"	"LastObsDate"	"Mass"	"MeasDate"	"HatchNum"	"FldgNum"	"Days"	"Years"	"Censor"	"Day11"	"Help"	"HelpNum"	"SexIND"	"FBreeder"	"FUSFWBand"	"MBreeder"	"MUSFWBand"	"famid"
"94"	"1043-80153"	"-SYn"	"LINS881"	"LINS88"	"LINS"	"1988"	1988-04-18	6703	6706	37	1988-04-29	4	4	3	0.01	1	11	0	0	3	"BSA-"	"1433-87437"	"-SYW"	"793-09885"	1
"95"	"1043-80154"	"-SLP"	"SARA881"	"SARA88"	"SARA"	"1988"	1988-04-18	6701	6767	43.5	1988-04-29	3	3	66	0.18	1	11	0	0	3	"P-BZ"	"1433-87417"	"L-FZ"	"1433-92948"	1
"96"	"1043-80155"	"-SFP"	"SARA881"	"SARA88"	"SARA"	"1988"	1988-04-18	6701	6767	46	1988-04-29	3	3	66	0.18	1	11	0	0	3	"P-BZ"	"1433-87417"	"L-FZ"	"1433-92948"	1
"97"	"1043-80156"	"-SAP"	"SARA881"	"SARA88"	"SARA"	"1988"	1988-04-18	6701	7131	42.5	1988-04-29	3	3	430	1.18	0	11	0	0	3	"P-BZ"	"1433-87417"	"L-FZ"	"1433-92948"	1
"98"	"1043-80158"	"-SWn"	"SIXS881"	"SIXS88"	"SIXS"	"1988"	1988-04-21	6704	6739	52.9	1988-05-02	2	2	35	0.1	1	11	0	0	1	"R-AZ"	"1423-42665"	"A-SL"	"1383-27195"	6
"99"	"1043-80159"	"-SRP"	"SIXS881"	"SIXS88"	"SIXS"	"1988"	1988-04-21	6704	6889	46.8	1988-05-02	2	2	185	0.51	1	11	0	0	3	"R-AZ"	"1423-42665"	"A-SL"	"1383-27195"	6
"100"	"1043-80161"	"-SBP"	"DEER881"	"DEER88"	"DEER"	"1988"	1988-04-21	6703	8052	45	1988-05-02	3	3	1349	3.69	0	11	0	0	1	"SR-F"	"1433-87482"	"SL-L"	"1053-14499"	1
"101"	"1043-80165"	"-SFO"	"NNWX881"	"NNWX88"	"NNWX"	"1988"	1988-04-22	6703	7680	40.9	1988-05-03	4	3	977	2.67	0	11	1	2	3	"S-RB"	"1423-42697"	"-PSA"	"1433-93031"	1
"102"	"1043-80166"	"-SBA"	"POND881"	"POND88"	"POND"	"1988"	1988-04-22	6704	6983	50.7	1988-05-03	2	2	279	0.76	1	11	1	2	3	"R-FC"	"1043-80106"	"-OSA"	"1433-93034"	7
"103"	"1043-80167"	"-SPn"	"POND881"	"POND88"	"POND"	"1988"	1988-04-22	6704	6739	42.2	1988-05-03	2	2	35	0.1	1	11	1	2	3	"R-FC"	"1043-80106"	"-OSA"	"1433-93034"	7
